               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 109,            0.018454,            0.022376,           0.0014762,             0.99619,             0.99752,             0.99453,             0.85146,            0.016863,             0.01244,           0.0013595,            0.007416,            0.007416,            0.007416
                 110,            0.017762,            0.019181,           0.0013017,             0.99696,             0.99753,              0.9949,             0.85855,            0.016749,             0.01219,            0.001299,           0.0073733,           0.0073733,           0.0073733
                 111,            0.018739,            0.021887,           0.0014697,             0.99711,             0.99753,             0.99369,             0.84475,            0.016487,            0.012287,           0.0012647,           0.0073303,           0.0073303,           0.0073303
                 112,            0.018185,            0.020461,           0.0013338,             0.99735,             0.99753,             0.99377,             0.85745,            0.016387,            0.012181,           0.0012638,           0.0072872,           0.0072872,           0.0072872
                 113,            0.018437,            0.020345,           0.0014126,              0.9969,             0.99753,             0.99391,             0.84583,             0.01671,            0.012263,           0.0013635,           0.0072438,           0.0072438,           0.0072438
                 114,            0.018216,            0.020986,           0.0012732,             0.99688,             0.99753,             0.99456,             0.85123,            0.016479,            0.012605,           0.0013878,           0.0072003,           0.0072003,           0.0072003
                 115,            0.018229,            0.021247,           0.0013044,             0.99717,             0.99753,               0.995,             0.85833,            0.015728,            0.012029,           0.0012905,           0.0071566,           0.0071566,           0.0071566
                 116,            0.018476,            0.022073,           0.0014389,             0.99707,             0.99753,             0.99493,              0.8442,            0.016246,            0.012101,           0.0012125,           0.0071127,           0.0071127,           0.0071127
                 117,             0.01797,            0.020181,           0.0012168,             0.99737,             0.99753,             0.99423,             0.85662,            0.016769,            0.012097,           0.0012066,           0.0070686,           0.0070686,           0.0070686
                 118,            0.017559,            0.019776,           0.0012606,             0.99735,             0.99753,             0.99406,             0.84617,            0.016349,            0.012485,             0.00127,           0.0070243,           0.0070243,           0.0070243
                 119,            0.016778,            0.020009,           0.0012724,             0.99712,             0.99753,             0.99488,             0.85686,             0.01622,             0.01235,           0.0012411,           0.0069799,           0.0069799,           0.0069799
                 120,            0.018539,            0.020577,           0.0013565,             0.99737,             0.99753,               0.995,             0.84342,            0.016418,             0.01232,           0.0013086,           0.0069353,           0.0069353,           0.0069353
                 121,            0.017809,            0.021431,           0.0013978,             0.99696,             0.99753,             0.99498,             0.86198,            0.015863,            0.012594,           0.0012576,           0.0068906,           0.0068906,           0.0068906
                 122,            0.017753,            0.020028,           0.0012866,              0.9971,             0.99752,             0.99443,             0.85693,              0.0162,            0.012162,           0.0012503,           0.0068457,           0.0068457,           0.0068457
                 123,             0.01723,            0.020031,           0.0013522,             0.99737,             0.99753,             0.99399,             0.87077,            0.015607,            0.011436,           0.0012107,           0.0068006,           0.0068006,           0.0068006
                 124,            0.017511,            0.022311,           0.0012882,             0.99733,             0.99753,             0.99451,             0.86856,            0.015923,            0.011666,           0.0012147,           0.0067555,           0.0067555,           0.0067555
                 125,            0.017822,            0.020682,           0.0013839,              0.9966,             0.99753,             0.99458,             0.86784,              0.0157,             0.01154,           0.0012329,           0.0067101,           0.0067101,           0.0067101
                 126,            0.016654,            0.019526,           0.0013399,             0.99706,             0.99753,             0.99456,             0.86238,            0.016452,            0.011979,           0.0012188,           0.0066647,           0.0066647,           0.0066647
                 127,            0.017766,            0.017474,           0.0012715,             0.99722,             0.99753,             0.99488,             0.86631,            0.016091,            0.011957,            0.001282,           0.0066191,           0.0066191,           0.0066191
                 128,            0.016722,            0.021987,            0.001225,             0.99691,             0.99753,             0.99465,              0.8673,            0.015524,            0.011693,           0.0012888,           0.0065734,           0.0065734,           0.0065734
                 129,            0.017336,            0.021029,           0.0012616,             0.99733,             0.99753,             0.99483,             0.86969,            0.015688,            0.011911,            0.001207,           0.0065276,           0.0065276,           0.0065276
                 130,            0.016417,            0.017932,             0.00125,             0.99738,             0.99753,             0.99495,             0.86452,            0.016002,            0.011552,           0.0011732,           0.0064816,           0.0064816,           0.0064816
                 131,              0.0171,            0.022227,           0.0012219,             0.99729,             0.99753,              0.9946,             0.86749,            0.015773,            0.011785,           0.0012436,           0.0064356,           0.0064356,           0.0064356
                 132,            0.017257,            0.018854,           0.0012623,             0.99728,             0.99753,             0.99451,             0.86992,            0.015446,            0.011673,           0.0012239,           0.0063895,           0.0063895,           0.0063895
                 133,             0.01689,            0.021108,           0.0013125,             0.99738,             0.99753,             0.99458,             0.85505,             0.01579,            0.011737,           0.0012093,           0.0063432,           0.0063432,           0.0063432
                 134,             0.01738,            0.020752,           0.0011977,             0.99728,             0.99753,              0.9946,             0.87037,            0.015652,            0.011848,           0.0011976,           0.0062969,           0.0062969,           0.0062969
                 135,            0.017059,            0.018745,           0.0012805,             0.99717,             0.99753,             0.99475,             0.86796,             0.01537,            0.011777,           0.0012261,           0.0062505,           0.0062505,           0.0062505
                 136,            0.016862,            0.017636,           0.0011169,              0.9973,             0.99753,               0.995,             0.86622,            0.015674,            0.011712,           0.0012075,            0.006204,            0.006204,            0.006204
                 137,            0.016652,            0.020084,           0.0013298,             0.99699,             0.99753,             0.99498,             0.86068,             0.01627,            0.012257,           0.0012421,           0.0061574,           0.0061574,           0.0061574
                 138,            0.017358,            0.020839,            0.001367,             0.99745,             0.99753,             0.99428,             0.86109,            0.015492,            0.012172,           0.0012392,           0.0061107,           0.0061107,           0.0061107
                 139,            0.016334,            0.016638,            0.001259,             0.99734,             0.99753,             0.99391,              0.8628,            0.015877,             0.01216,           0.0011988,            0.006064,            0.006064,            0.006064
                 140,            0.016509,            0.019921,           0.0011888,             0.99736,             0.99753,             0.99438,              0.8661,            0.015953,            0.012215,           0.0012079,           0.0060172,           0.0060172,           0.0060172
